Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
Inova Health System,VA,Healthcare Provider,12331,11/2/2018,Theft,"Electronic Medical Record, Paper/Films"
Dallas County Mental Health Mental Retardation Center dba Metrocare Services,TX,Healthcare Provider,1804,11/1/2018,Hacking/IT Incident,Email
"CNO Financial Group, Inc.",IN,Health Plan,566217,10/25/2018,Unauthorized Access/Disclosure,Other
The Children's Hospital of Philadelphia,PA,Healthcare Provider,5368,10/23/2018,Hacking/IT Incident,Email
Day Kimball Healthcare,CT,Healthcare Provider,698,10/22/2018,Unauthorized Access/Disclosure,Electronic Medical Record
"CJ Elmwood Partners, L.P.",IA,Healthcare Provider,22416,10/22/2018,Hacking/IT Incident,Network Server
"Jones Eye Center, P.C.",IA,Healthcare Provider,39605,10/22/2018,Hacking/IT Incident,Network Server
Smith Dental Care,TX,Healthcare Provider,5000,10/17/2018,Hacking/IT Incident,"Desktop Computer, Email"
Yale University,CT,Healthcare Provider,1102,10/17/2018,Unauthorized Access/Disclosure,Paper/Films
HealthFitness,IL,Business Associate,550,10/15/2018,Unauthorized Access/Disclosure,Other
HealthFitness,IL,Business Associate,1332,10/15/2018,Unauthorized Access/Disclosure,Other
Employees Retirement System of Texas,TX,Health Plan,1248263,10/15/2018,Unauthorized Access/Disclosure,Other
FirstCare Health Plans,TX,Health Plan,8056,10/12/2018,Unauthorized Access/Disclosure,Email
Catawba Valley Medical Center,NC,Healthcare Provider,20000,10/12/2018,Hacking/IT Incident,Email
West Sound Treatment Center,WA,Healthcare Provider,2300,10/11/2018,Unauthorized Access/Disclosure,Desktop Computer
West Sound Treatment Center,WA,Healthcare Provider,2300,10/11/2018,Theft,Laptop
Indiana University School of Medicine,IN,Healthcare Provider,1431,10/11/2018,Theft,Paper/Films
The May Eye Care Center,PA,Healthcare Provider,30000,10/11/2018,Hacking/IT Incident,"Desktop Computer, Network Server"
Hormone Logics,FL,Healthcare Provider,3000,10/10/2018,Theft,"Desktop Computer, Email, Laptop, Network Server, Other Portable Electronic Device, Paper/Films"
Cigna,CT,Health Plan,3500,10/10/2018,Hacking/IT Incident,Network Server
Minnesota Department of Human Services,MN,Health Plan,20800,10/9/2018,Hacking/IT Incident,Email
Oklahoma Department of Human Services,OK,Health Plan,813,10/8/2018,Hacking/IT Incident,Paper/Films
